Please rate how much control and flexibility you have over your time (e.g. to leave work to take care of a personal matter),Please rate how safe and secure you feel in your job,Please rate how you feel about the amount of work you have to do,Please rate how you feel about the nature of your work,Please rate how you feel about learning and growth opportunities at work,Please rate the nature of your social relationships with your work colleagues,Please rate the nature of your relationship with your manager or supervisor,Please rate how informed you feel about what is going on in your team,Please rate how you perceive your work is valued and recognized,How regularly to you engage in physical exercise (30 minutes or more)?,"How often do you eat processed, packaged, or fast food that is not made from fresh ingredients?"
5,8,5,4,3,7,6,7,9,Rarely/Never,Few days a week
5,7,9,6,3,9,7,9,6,Rarely/Never,Few days a week
5,8,4,9,4,7,7,7,8,Once a week,A few times a month
6,8,8,6,2,8,6,9,6,Rarely/Never,A few times a month
4,8,6,6,4,5,4,9,7,Rarely/Never,Few days a week
7,6,9,6,1,6,5,8,9,Once a week,A few times a month
5,7,5,3,6,8,6,7,9,Rarely/Never,Rarely/Never
5,9,7,6,7,8,5,8,9,Rarely/Never,Several times a day
4,8,7,4,1,8,6,7,9,Once a week,Once a day
6,7,5,5,4,6,6,7,6,Few days a week,Few days a week
6,8,6,9,3,7,5,8,7,Few days a week,Several times a day
7,8,5,9,4,5,5,7,9,Few days a week,Several times a day
6,7,6,8,4,7,7,7,9,Rarely/Never,Few days a week
6,7,7,7,6,7,6,9,8,Once a week,Once a day
6,9,5,7,5,7,6,7,9,Less than once a week,Few days a week
6,8,6,4,2,7,7,7,9,Rarely/Never,Once a day
5,6,4,3,4,8,8,7,9,Less than once a week,A few times a month
5,8,4,6,3,6,3,5,8,Less than once a week,Few days a week
6,8,2,5,2,6,7,9,7,Rarely/Never,Few days a week
5,8,3,4,4,8,7,7,9,Rarely/Never,Once a day
